"Scientific_Name","Authority","Common_Name","Wind_Author_Year","Mortality_percent","Damaged_ALL_percent","Root_Fail_percent","Stem_Fail_percent","Limb_Fail_percent","IBT_Year","IBTRaCS","SID","Notes","Total_Tree_Quantity","LCVP_GlobalID","LCVP_Taxon","Genus","Family","Order","Tropical_Cyclone_Basin","Lat","Long","MeanWoodDensity.gcm3","SDWoodDensity.gm3","MeanPlantHeight.m","SDHeight.m","HeightType","LMA.gm2","LeafType","AngioGymno","Palm","Monocot","Wind_resistance_rating","PlantType","YearSincePrevTC_50km","YearSincePrevTC_100km","ECO_NAME","Biome_Name","Realm_Name","TraitSourceID","LCVP_short","LCVP_shorter","Wind_rating_short"
"Acer rubrum","","Red maple","Duryea et al 2007a",7,NA,NA,NA,NA,1995,"OPAL","1995271N19273","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,11254,"Acer rubrum L. ","Acer","Sapindaceae","Sapindales","North Atlantic",29.67193,-82.34275,0.49,NA,35,NA,"max",56.2785570549281,"Semi/Deciduous","Angiosperm","No","No","MEDIUM LOW","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; MOL_071; MOL_076; MOL_231; MOL_252; MOL_367; MOL_370; TRY_3003; TRY_3007; TRY_3011; TRY_3015; TRY_3016; TRY_3021; TRY_3025; TRY_3030; TRY_3035; TRY_3038; TRY_3010; TRY_3047; TRY_3050; TRY_3052; TRY_3058; TRY_3061; TRY_3063; TRY_3070; TRY_3074; TRY_3075; TRY_3080; TRY_3104; TRY_4001; TRY_4005; TRY_4006; TRY_4009; TRY_4010; TRY_4011; TRY_4013; TRY_4014; TRY_4021; TRY_4025; TRY_4026; TRY_4034; TRY_4008; TRY_4037; TRY_4038; TRY_4039; TRY_4040; TRY_4041; TRY_4042; TRY_4044; TRY_4045; TRY_4046; TRY_4047; TRY_4048; TRY_4050","Acer rubrum","A. rubrum","ML"
"Acer rubrum","","Red maple","Duryea et al 2007a",24,NA,NA,NA,NA,2004,"IVAN","2004247N10332","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,11254,"Acer rubrum L. ","Acer","Sapindaceae","Sapindales","North Atlantic",29.67193,-82.34275,0.49,NA,35,NA,"max",56.2785570549281,"Semi/Deciduous","Angiosperm","No","No","MEDIUM LOW","Tree (angio)",13,2,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; MOL_071; MOL_076; MOL_231; MOL_252; MOL_367; MOL_370; TRY_3003; TRY_3007; TRY_3011; TRY_3015; TRY_3016; TRY_3021; TRY_3025; TRY_3030; TRY_3035; TRY_3038; TRY_3010; TRY_3047; TRY_3050; TRY_3052; TRY_3058; TRY_3061; TRY_3063; TRY_3070; TRY_3074; TRY_3075; TRY_3080; TRY_3104; TRY_4001; TRY_4005; TRY_4006; TRY_4009; TRY_4010; TRY_4011; TRY_4013; TRY_4014; TRY_4021; TRY_4025; TRY_4026; TRY_4034; TRY_4008; TRY_4037; TRY_4038; TRY_4039; TRY_4040; TRY_4041; TRY_4042; TRY_4044; TRY_4045; TRY_4046; TRY_4047; TRY_4048; TRY_4050","Acer rubrum","A. rubrum","ML"
"Acer saccharinum","","Silver maple","Duryea et al 2007a",7,NA,NA,NA,NA,1995,"OPAL","1995271N19273","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,11293,"Acer saccharinum L. ","Acer","Sapindaceae","Sapindales","North Atlantic",29.67193,-82.34275,0.44,NA,32.5838222222222,5.50534986031264,"NR",63.5062412347531,"Semi/Deciduous","Angiosperm","No","No","MEDIUM LOW","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; TRY_2004; TRY_2002; TRY_2005; TRY_2003; TRY_3007; TRY_3010; TRY_3050; TRY_3079; TRY_3089; TRY_4001; TRY_4005; TRY_4006; TRY_4008; TRY_4011; TRY_4034; TRY_4037; TRY_4038; TRY_4041; TRY_4046; TRY_4047","Acer saccharinum","A. saccharinum","ML"
"Carya floridana","","Florida scrub hickory","Duryea et al 2007a",17,NA,NA,NA,NA,2004,"JEANNE","2004258N16300","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,243180,"Carya floridana Sarg. ","Carya","Juglandaceae","Fagales","North Atlantic",27.28142,-80.35297,NA,NA,24.9936,NA,"NR",85.01098366204,"Semi/Deciduous","Angiosperm","No","No","HIGHEST","Tree (angio)",5,5,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","TRY_2002; TRY_3021; TRY_3010; TRY_4006; TRY_4014; TRY_4037; TRY_4038; TRY_4041; ","Carya floridana","C. floridana","H"
"Carya illinoinensis","","Pecan","Duryea et al 2007a",3,NA,NA,NA,NA,1995,"ERIN","1995212N22287","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,243190,"Carya illinoinensis (Wangenh.) K.Koch ","Carya","Juglandaceae","Fagales","North Atlantic",29.67193,-82.34275,0.6,NA,49.192,12.1640585332363,"NR",44.6513634328483,"Semi/Deciduous","Angiosperm","No","No","LOWEST","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; TRY_2002; TRY_2001; TRY_2003; TRY_3079; TRY_3010; TRY_4001; TRY_4006; TRY_4011; TRY_4008; TRY_4037; TRY_4038","Carya illinoinensis","C. illinoinensis","L"
"Carya illinoinensis","","Pecan","Duryea et al 2007a",7,NA,NA,NA,NA,1995,"OPAL","1995271N19273","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,243190,"Carya illinoinensis (Wangenh.) K.Koch ","Carya","Juglandaceae","Fagales","North Atlantic",29.67193,-82.34275,0.6,NA,49.192,12.1640585332363,"NR",44.6513634328483,"Semi/Deciduous","Angiosperm","No","No","LOWEST","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; TRY_2002; TRY_2001; TRY_2003; TRY_3079; TRY_3010; TRY_4001; TRY_4006; TRY_4011; TRY_4008; TRY_4037; TRY_4038","Carya illinoinensis","C. illinoinensis","L"
"Carya illinoinensis","","Pecan","Duryea et al 2007a",24,NA,NA,NA,NA,2004,"IVAN","2004247N10332","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,243190,"Carya illinoinensis (Wangenh.) K.Koch ","Carya","Juglandaceae","Fagales","North Atlantic",29.67193,-82.34275,0.6,NA,49.192,12.1640585332363,"NR",44.6513634328483,"Semi/Deciduous","Angiosperm","No","No","LOWEST","Tree (angio)",13,2,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; TRY_2002; TRY_2001; TRY_2003; TRY_3079; TRY_3010; TRY_4001; TRY_4006; TRY_4011; TRY_4008; TRY_4037; TRY_4038","Carya illinoinensis","C. illinoinensis","L"
"Carya glabra","","Pignut hickory","Duryea et al 2007a",0,NA,NA,NA,NA,1995,"ERIN","1995212N22287","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,243181,"Carya glabra (Mill.) Sweet ","Carya","Juglandaceae","Fagales","North Atlantic",29.67193,-82.34275,0.66,NA,27,NA,"max",60.8913840380703,"Semi/Deciduous","Angiosperm","No","No","MEDIUM HIGH","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; MOL_231; MOL_252; TRY_3003; TRY_3030; TRY_3035; TRY_3052; TRY_3061; TRY_3063; TRY_3070; TRY_3010; TRY_4001; TRY_4006; TRY_4009; TRY_4010; TRY_4011; TRY_4021; TRY_4025; TRY_4026; TRY_4034; TRY_4008; TRY_4037; TRY_4038; TRY_4039; TRY_4046","Carya glabra","C. glabra","MH"
"Cinnamomum camphora","","Camphor","Duryea et al 2007a",10,NA,NA,NA,NA,2004,"CHARLEY","2004223N11301","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,288313,"Cinnamomum camphora (L.) J.Presl ","Cinnamomum","Lauraceae","Laurales","North Atlantic",26.90465,-82.07293,0.487403,0.0798836115545611,21.6666666666667,7.63762615825973,"NR",84.5060996860428,"Evergreen","Angiosperm","No","No","MEDIUM LOW","Tree (angio)",10,3,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_012; ZAN_021; ZAN_024; TRY_2001; TRY_2005; TRY_2003; TRY_3019; TRY_3044; TRY_3045; TRY_3075; TRY_3077; TRY_3010; TRY_4001; TRY_4006; TRY_4009; TRY_4013; TRY_4030; TRY_4033; TRY_4034; TRY_4008; TRY_4037; TRY_4038; TRY_4042; TRY_4043; TRY_4046; TRY_4047","Cinnamomum camphora","C. camphora","ML"
"Cornus florida","","Flowering dogwood","Duryea et al 2007a",0,NA,NA,NA,NA,1995,"ERIN","1995212N22287","Calculated Mortality_percent as 100 - Percent survival from original table. Latitude/Longitude missing because data collected at multiple cities",NA,325459,"Cornus florida L. ","Cornus","Cornaceae","Cornales","North Atlantic",29.67193,-82.34275,0.64,NA,12.5,NA,"max",42.869358188933,"Semi/Deciduous","Angiosperm","No","No","HIGHEST","Tree (angio)",4,1,"Southeastern conifer forests","Temperate Conifer Forests","Nearctic","ZAN_043; MOL_076; MOL_231; MOL_252; TRY_3003; TRY_3007; TRY_3016; TRY_3030; TRY_3035; TRY_3038; TRY_3047; TRY_3050; TRY_3051; TRY_3052; TRY_3061; TRY_3063; TRY_3070; TRY_3080; TRY_3010; TRY_4001; TRY_4005; TRY_4006; TRY_4009; TRY_4010; TRY_4011; TRY_4013; TRY_4021; TRY_4025; TRY_4026; TRY_4034; TRY_4008; TRY_4037; TRY_4038; TRY_4039; TRY_4046; TRY_4047","Cornus florida","C. florida","H"
