LCVP_Taxon,Common_Name
Acacia auriculiformis A.Cunn. ex Benth. ,Black wattle
Acacia crassicarpa A.Cunn. ex Benth. ,Northern wattle
Acacia mangium Willd. ,Silver wattle
Acer negundo L. ,boxelder
Acer palmatum Thunb. ex Murr. ,Japanese maple
Acer pictum Thunb. ,yellow-paint maple
Acer rubrum L. ,red maple
Acer saccharinum L. ,sugar maple
Acronychia acidula F.Muell. ,lemon aspen
Adina cordifolia (Roxb.) Brandis,Yellow Teak
Aegle marmelos (L.) Corrêa ,Bael tree/ wood apple
Aglaia pinnata (L.) Druce ,Leban
Albizia julibrissin Durazz. ,mimosa/ persian silk tree
Albizia odoratissima (L.f.) Benth. ,Black Siris
Albizia procera (Roxb.) Benth. ,Forest siris
Alchornea latifolia Sw. ,Achiotillo
Aleurites moluccanus (L.) Willd. ,Candle Nut
Alstonia rostrata C.E.C.Fisch. ,
Alstonia scholaris (L.) R.Br. ,White Cheese wood/ devil's tree
Amyris elemifera L. ,Sea torchwood
Anacardium occidentale L. ,Cashew tree
Andira inermis (W.Wright) DC.,Cabbage tree
Apeiba membranacea Spruce ex Benth. ,Burillo
Aphananthe aspera (Thunb.) Planch. ,muku tree
Araucaria cunninghamii Aiton ex D.Don ,Hoop pine
Araucaria heterophylla (Salisb.) Franco ,Norfolk Island pine
Artocarpus altilis (Parkinson) Fosberg ,Breadfruit
Astronium graveolens Jacq. ,glassywood
Azadirachta indica A.Juss. ,neem/ indian lilac
Barringtonia asiatica (L.) Kurz ,fish poison tree
Bauhinia blakeana_x Dunn ,Hong Kong Orchid Tree
Betula platyphylla Sukaczev ,white birch
Bischofia javanica Blume ,bishop wood
Blastus cochinchinensis Lour. ,
Bombax ceiba L. ,cotton tree
Bridelia retusa (L.) A.Juss. ,Spinous kino tree
Brosimum alicastrum Sw. ,breadnut tree
Brosimum guianense (Aubl.) Huber ex Ducke ,snakewood
Brosimum lactescens (S.Moore) C.C.Berg ,
Brosimum utile (Kunth) Oken ,Cow tree
Bursera simaruba (L.) Sarg. ,Gumbo limbo
Byrsonima crispa A.Juss. ,
Byrsonima spicata (Cav.) Rich. ex Kunth ,Locust berry
Callistemon citrinus (Curtis) Skeels ,
Callistemon viminalis (Sol. ex Gaertn.) G.Don ex Loudon ,Crimson bottlebrush
Calophyllum antillanum Britton ,Antilles beauty leaf
Calophyllum brasiliense Cambess. ,Brazil Beauty-Leaf
Calophyllum calaba L. ,santa-maria
Calophyllum inophyllum L. ,Beauty Leaf
Calophyllum neoebudicum Guill. ,
Camellia oleifera Abel ,tea oil camellia
Cananga odorata (Lam.) Hook.f. & Thomson ,Climbing ylang-ylang tree
Carapa guianensis Aubl. ,crabwood
Carpinus caroliniana Walter ,ironwood
Carya alba (L.) Nutt. ex Elliott ,Mockernut hickory
Carya aquatica (F.Michx.) Nutt. ex Elliott ,bitter pecan
Carya floridana Sarg. ,Scrub hickory
Carya glabra (Mill.) Sweet ,pignut hickory
